"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"179","2, 4, 6, 10",20,9,11,0.000199659233946579,0.000221141088014154,0.00136281525926795,0.226227333038479
"180","2, 3, 4, 6, 10",20,9,11,0.000166707728719385,0.000221141088014154,0.00136281525926795,0.226227333038479
"181","2, 4, 5, 7, 10",20,9,11,0.000156876491756202,0.000221141088014154,0.00136281525926795,0.226227333038479
"182","2, 3, 6, 8, 9, 10",20,9,11,0.000100809432618386,0.000221141088014154,0.00136281525926795,0.226227333038479
"183","1, 2, 4, 5, 6, 10",20,9,11,6.18652529370753e-05,0.000221141088014154,0.00136281525926795,0.226227333038479
"184","2, 3, 5, 6, 8, 9, 10",20,9,11,4.59015796281832e-05,0.000221141088014154,0.00136281525926795,0.226227333038479
"185","3, 4, 5, 7, 8, 9, 10",20,9,11,2.31631059897271e-05,0.000221141088014154,0.00136281525926795,0.226227333038479
"186","1, 3, 4, 6, 7, 8, 9, 10",20,9,11,1.07338474683513e-05,0.000221141088014154,0.00136281525926795,0.226227333038479
"187","3, 4, 6, 9, 10",20,9,11,7.23144512945403e-06,0.000221141088014154,0.00136281525926795,0.226227333038479
"188","1, 2, 3, 4, 5, 6, 7, 9, 10",19,11,8,0.0104485946558023,0.00103199174406605,0.00309370711847492,1
"189","1, 3, 4, 5, 6, 7, 10",19,11,8,0.0101973211236896,0.00103199174406605,0.00309370711847492,1
"190","1, 3, 4, 5, 6, 7, 9, 10",19,11,8,0.0100803687931554,0.00103199174406605,0.00309370711847492,1
"191","2, 3, 4, 5, 6, 7, 10",19,11,8,0.0100261632793192,0.00103199174406605,0.00309370711847492,1
"192","1, 2, 3, 4, 5, 6, 7, 10",19,11,8,0.0100204273813697,0.00103199174406605,0.00309370711847492,1
"193","2, 5, 9, 10",19,11,8,0.00996691477391323,0.00103199174406605,0.00309370711847492,1
"194","2, 3, 4, 5, 6, 7, 9, 10",19,11,8,0.00948582242192818,0.00103199174406605,0.00309370711847492,1
"195","1, 2, 3, 5, 6, 7, 9, 10",19,11,8,0.00926816154173646,0.00103199174406605,0.00309370711847492,1
"196","1, 2, 3, 5, 6, 7, 10",19,11,8,0.00728148859808178,0.00103199174406605,0.00309370711847492,1
